road_settlement_count,status,runtime,best bound,num_constraints
2,OPTIMAL,0.05,486.0,241
3,OPTIMAL,0.04,729.0,241
4,OPTIMAL,0.03,972.0,241
5,OPTIMAL,0.03,1215.0,241
6,OPTIMAL,0.05,1134.0,241
2,OPTIMAL,0.04,486.0,249
3,OPTIMAL,0.04,729.0,249
4,OPTIMAL,0.03,972.0,249
5,OPTIMAL,0.04,1215.0,249
6,OPTIMAL,0.13,1296.0,249
2,OPTIMAL,0.04,486.0,260
3,OPTIMAL,0.07,729.0,260
4,OPTIMAL,0.05,972.0,260
5,OPTIMAL,0.06,1215.0,260
6,INFEASIBLE,0.04,-inf,260
2,OPTIMAL,0.05,486.0,272
3,OPTIMAL,0.05,729.0,272
4,OPTIMAL,0.09,972.0,272
5,INFEASIBLE,0.07,-inf,272
6,INFEASIBLE,0.05,-inf,272
